,idx,name,category,closest_known_entity,closest_category,closest_similarity
1493,12111,Mahantango Formation,stratigraphic_name,Mahantango Formation,known_stratigraphic_name,1.0000004
4708,15326,Quartz monzonite,lithology,quartz monzonite,known_lithology,1.0000004
1584,12202,Merritt sand,stratigraphic_name,Merritt Sand,known_stratigraphic_name,1.0000004
4706,15324,Quartz Monzonite,lithology,quartz monzonite,known_lithology,1.0000004
269,10887,Brassfield Formation,stratigraphic_name,Brassfield Formation,known_stratigraphic_name,1.0000002
1300,11918,King coal bed,stratigraphic_name,King Coal Bed,known_stratigraphic_name,1.0000002
658,11276,Crystal Creek Member,stratigraphic_name,Crystal Creek Member,known_stratigraphic_name,1.0000002
1287,11905,Kimmswick limestone,stratigraphic_name,Kimmswick Limestone,known_stratigraphic_name,1.0000002
1711,12329,Monte Cristo dolomite,stratigraphic_name,Monte Cristo Dolomite,known_stratigraphic_name,1.0000002
1724,12342,Morenci shale,stratigraphic_name,Morenci Shale,known_stratigraphic_name,1.0000002
1286,11904,Kimmswick Limestone,stratigraphic_name,Kimmswick Limestone,known_stratigraphic_name,1.0000002
4542,15160,Loess,lithology,loess,known_lithology,1.0000002
2734,13352,Tow Creek Sandstone Member,stratigraphic_name,Tow Creek Sandstone Member,known_stratigraphic_name,1.0000002
251,10869,Boone formation,stratigraphic_name,Boone Formation,known_stratigraphic_name,1.0000002
107,10725,Allegheny Group,stratigraphic_name,Allegheny Group,known_stratigraphic_name,1.0000002
1779,12397,Needmore Shale,stratigraphic_name,Needmore Shale,known_stratigraphic_name,1.0000002
5047,15665,amphibolite,lithology,amphibolite,known_lithology,1.0000002
603,11221,Cook Mountain formation,stratigraphic_name,Cook Mountain Formation,known_stratigraphic_name,1.0000002
4521,15139,LOESS,lithology,loess,known_lithology,1.0000002
601,11219,Cook Mountain Formation,stratigraphic_name,Cook Mountain Formation,known_stratigraphic_name,1.0000002
1819,12437,Northwestern Formation,stratigraphic_name,Northwestern Formation,known_stratigraphic_name,1.0000002
998,11616,Glen Park limestone,stratigraphic_name,Glen Park Limestone,known_stratigraphic_name,1.0000002
1399,12017,Lewis Shale,stratigraphic_name,Lewis Shale,known_stratigraphic_name,1.0000002
1329,11947,LOESS,stratigraphic_name,Loess,known_stratigraphic_name,1.0000002
704,11322,Decorah shale,stratigraphic_name,Decorah Shale,known_stratigraphic_name,1.0000002
9477,20095,quartz monzonite,lithology,quartz monzonite,known_lithology,1.0000002
4219,14837,Amphibolite,lithology,amphibolite,known_lithology,1.0000002
6632,17250,dunite,lithology,dunite,known_lithology,1.0000002
161,10779,Atoka Formation,stratigraphic_name,Atoka Formation,known_stratigraphic_name,1.0000002
1427,12045,Loess,stratigraphic_name,Loess,known_stratigraphic_name,1.0000002
158,10776,Athens limestone,stratigraphic_name,Athens Limestone,known_stratigraphic_name,1.0000002
2969,13587,Wedington sandstone member,stratigraphic_name,Wedington Sandstone Member,known_stratigraphic_name,1.0000002
1389,12007,Lenoir limestone,stratigraphic_name,Lenoir Limestone,known_stratigraphic_name,1.0000002
847,11465,Erwin quartzite,stratigraphic_name,Erwin Quartzite,known_stratigraphic_name,1.0000002
804,11422,Elbrook dolomite,stratigraphic_name,Elbrook Dolomite,known_stratigraphic_name,1.0000002
1025,11643,Grassy Creek shale,stratigraphic_name,Grassy Creek Shale,known_stratigraphic_name,1.0000002
2911,13529,Valley Springs Formation,stratigraphic_name,Valley Springs Formation,known_stratigraphic_name,1.0000002
1524,12142,Martin limestone,stratigraphic_name,Martin Limestone,known_stratigraphic_name,1.0000002
792,11410,Edgewood formation,stratigraphic_name,Edgewood Formation,known_stratigraphic_name,1.0000002
1378,11996,Lawson Creek Formation,stratigraphic_name,Lawson Creek Formation,known_stratigraphic_name,1.0000002
751,11369,Dripping Spring Formation,stratigraphic_name,Dripping Spring Formation,known_stratigraphic_name,1.0000002
737,11355,Dinwoody Formation,stratigraphic_name,Dinwoody Formation,known_stratigraphic_name,1.0000002
3533,14151,loess,stratigraphic_name,Loess,known_stratigraphic_name,1.0000002
1256,11874,Kaiparowits Formation,stratigraphic_name,Kaiparowits Formation,known_stratigraphic_name,1.0000002
584,11202,Conemaugh Group,stratigraphic_name,Conemaugh Group,known_stratigraphic_name,1.0000002
2993,13611,Williams Fork Formation,stratigraphic_name,Williams Fork Formation,known_stratigraphic_name,1.0000002
2351,12969,San Pablo Formation,stratigraphic_name,San Pablo Formation,known_stratigraphic_name,1.0000002
8171,18789,limestone,lithology,limestone,known_lithology,1.0000002
4360,14978,Diabase,lithology,diabase,known_lithology,1.0000002
308,10926,Buda limestone,stratigraphic_name,Buda Limestone,known_stratigraphic_name,1.0000002
7520,18138,greenstone,lithology,greenstone,known_lithology,1.0000002
445,11063,Cedar Valley limestone,stratigraphic_name,Cedar Valley Limestone,known_stratigraphic_name,1.0000002
430,11048,Catahoula tuff,stratigraphic_name,Catahoula Tuff,known_stratigraphic_name,1.0000002
133,10751,Apache group,stratigraphic_name,Apache Group,known_stratigraphic_name,1.0000002
129,10747,Angola Shale,stratigraphic_name,Angola Shale,known_stratigraphic_name,1.0000002
2412,13030,Sexton Creek limestone,stratigraphic_name,Sexton Creek Limestone,known_stratigraphic_name,1.0000002
216,10834,Big Bug Group,stratigraphic_name,Big Bug Group,known_stratigraphic_name,1.0000002
1212,11830,Jacalitos Formation,stratigraphic_name,Jacalitos Formation,known_stratigraphic_name,1.0000002
402,11020,Carbondale formation,stratigraphic_name,Carbondale Formation,known_stratigraphic_name,1.0000002
4330,14948,Conglomerate,lithology,conglomerate,known_lithology,1.0000002
391,11009,Cape Ann Granite,stratigraphic_name,Cape Ann Granite,known_stratigraphic_name,1.0000002
131,10749,Apache Group,stratigraphic_name,Apache Group,known_stratigraphic_name,1.0000002
8279,18897,loess,lithology,loess,known_lithology,1.0000002
298,10916,Brussels formation,stratigraphic_name,Brussels Formation,known_stratigraphic_name,1.0000002
464,11082,Challis Volcanics,stratigraphic_name,Challis Volcanics,known_stratigraphic_name,1.0000002
2537,13155,Sultan limestone,stratigraphic_name,Sultan Limestone,known_stratigraphic_name,1.0000002
1886,12504,Oriskany Group,stratigraphic_name,Oriskany Group,known_stratigraphic_name,1.0000002
271,10889,Brassfield formation,stratigraphic_name,Brassfield Formation,known_stratigraphic_name,1.0000002
519,11137,Claremont shale,stratigraphic_name,Claremont Shale,known_stratigraphic_name,1.0000002
1067,11685,Hale formation,stratigraphic_name,Hale Formation,known_stratigraphic_name,1.0000002
2604,13222,Temescal formation,stratigraphic_name,Temescal Formation,known_stratigraphic_name,1.0000002
1898,12516,Ouray Limestone,stratigraphic_name,Ouray Limestone,known_stratigraphic_name,1.0000002
1899,12517,Ouray limestone,stratigraphic_name,Ouray Limestone,known_stratigraphic_name,1.0000002
510,11128,Chumstick Formation,stratigraphic_name,Chumstick Formation,known_stratigraphic_name,1.0000002
1072,11690,Hamilton Formation,stratigraphic_name,Hamilton Formation,known_stratigraphic_name,1.0000002
9104,19722,pegmatite,lithology,pegmatite,known_lithology,1.0000002
228,10846,Bird Spring formation,stratigraphic_name,Bird Spring Formation,known_stratigraphic_name,1.0000002
5861,16479,carbonatite,lithology,carbonatite,known_lithology,1.0000002
2550,13168,Swakane Biotite Gneiss,stratigraphic_name,Swakane Biotite Gneiss,known_stratigraphic_name,1.0000002
206,10824,Beekmantown dolomite,stratigraphic_name,Beekmantown Dolomite,known_stratigraphic_name,1.0000002
9690,20308,rhyolite,lithology,rhyolite,known_lithology,1.0000002
2352,12970,San Pablo formation,stratigraphic_name,San Pablo Formation,known_stratigraphic_name,1.0000002
941,11559,Frio clay,stratigraphic_name,Frio Clay,known_stratigraphic_name,1.0000001
1122,11740,Hermit Shale,stratigraphic_name,Hermit Shale,known_stratigraphic_name,1.0000001
4847,15465,Tonalite,lithology,tonalite,known_lithology,1.0000001
955,11573,Fruitland Formation,stratigraphic_name,Fruitland Formation,known_stratigraphic_name,1.0000001
4780,15398,Slate,lithology,slate,known_lithology,1.0000001
968,11586,Garden Creek Phyllite,stratigraphic_name,Garden Creek Phyllite,known_stratigraphic_name,1.0000001
4844,15462,Till,lithology,till,known_lithology,1.0000001
974,11592,Gatesburg Formation,stratigraphic_name,Gatesburg Formation,known_stratigraphic_name,1.0000001
982,11600,Geneseo Shale,stratigraphic_name,Geneseo Shale,known_stratigraphic_name,1.0000001
994,11612,Glen Canyon Group,stratigraphic_name,Glen Canyon Group,known_stratigraphic_name,1.0000001
1081,11699,Hanna Formation,stratigraphic_name,Hanna Formation,known_stratigraphic_name,1.0000001
1076,11694,Hamilton group,stratigraphic_name,Hamilton Group,known_stratigraphic_name,1.0000001
1073,11691,Hamilton Group,stratigraphic_name,Hamilton Group,known_stratigraphic_name,1.0000001
1034,11652,Green River Formation,stratigraphic_name,Green River Formation,known_stratigraphic_name,1.0000001
1120,11738,Hercules shale member,stratigraphic_name,Hercules Shale Member,known_stratigraphic_name,1.0000001
697,11315,Decorah Formation,stratigraphic_name,Decorah Formation,known_stratigraphic_name,1.0000001
918,11536,Fox Hills Sandstone,stratigraphic_name,Fox Hills Sandstone,known_stratigraphic_name,1.0000001
477,11095,Chemung Formation,stratigraphic_name,Chemung Formation,known_stratigraphic_name,1.0000001
8315,18933,mafic,lithology,mafic,known_lithology,1.0000001
556,11174,Coconino sandstone,stratigraphic_name,Coconino Sandstone,known_stratigraphic_name,1.0000001
555,11173,Coconino Sandstone,stratigraphic_name,Coconino Sandstone,known_stratigraphic_name,1.0000001
536,11154,Clinton Group,stratigraphic_name,Clinton Group,known_stratigraphic_name,1.0000001
515,11133,Citronelle formation,stratigraphic_name,Citronelle Formation,known_stratigraphic_name,1.0000001
479,11097,Chemung formation,stratigraphic_name,Chemung Formation,known_stratigraphic_name,1.0000001
7474,18092,graywacke,lithology,graywacke,known_lithology,1.0000001
473,11091,Chattanooga shale,stratigraphic_name,Chattanooga Shale,known_stratigraphic_name,1.0000001
877,11495,Ferris Formation,stratigraphic_name,Ferris Formation,known_stratigraphic_name,1.0000001
432,11050,Cathedral Bluffs Tongue,stratigraphic_name,Cathedral Bluffs Tongue,known_stratigraphic_name,1.0000001
422,11040,Carolina gneiss,stratigraphic_name,Carolina Gneiss,known_stratigraphic_name,1.0000001
10271,20889,slate,lithology,slate,known_lithology,1.0000001
10040,20658,serpentinite,lithology,serpentinite,known_lithology,1.0000001
4295,14913,Chert,lithology,chert,known_lithology,1.0000001
320,10938,Burket Black Shale Member,stratigraphic_name,Burket Black Shale Member,known_stratigraphic_name,1.0000001
273,10891,Brassfield limestone,stratigraphic_name,Brassfield Limestone,known_stratigraphic_name,1.0000001
